index,ChEMBL ID,Name,canonical_smiles
97,CHEMBL1908332,TUROSTERIDE,CC(C)NC(=O)N(C(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4N(C)C(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C
98,CHEMBL5314536,POZDEUTINURAD,[2H]c1c([2H])c([2H])c2c(C(=O)c3cc(Br)c(O)c(Br)c3)c(C(C)O)oc2c1[2H]
99,CHEMBL2104260,ETOSALAMIDE,CCOCCOc1ccccc1C(N)=O
100,CHEMBL3833408,MAGALDRATE ANHYDROUS,O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].[Al+3].[Al+3].[Al+3].[Al+3].[Al+3].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-]
101,CHEMBL1450486,THIPHENAMIL,CCN(CC)CCSC(=O)C(c1ccccc1)c1ccccc1
102,CHEMBL356301,LOTRAFIBAN,CN1Cc2cc(C(=O)N3CCC(C4CCNCC4)CC3)ccc2N[C@@H](CC(=O)O)C1=O
103,CHEMBL2110963,NEXERIDINE,CC(=O)OC1(C(C)CN(C)C)CCCCC1c1ccccc1
104,CHEMBL2107206,TRETHINIUM TOSILATE,CC[N+]1(C)CCc2ccccc2C1.Cc1ccc(S(=O)(=O)[O-])cc1
105,CHEMBL3306902,APALCILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)c3cnc4cccnc4c3O)c3ccccc3)C(=O)N2[C@H]1C(=O)O
106,CHEMBL2110715,OXAMISOLE,COC1(OC)CCCN2CC(c3ccccc3)N=C21
107,CHEMBL2110688,FEZOLAMINE,CN(C)CCCn1cc(-c2ccccc2)c(-c2ccccc2)n1
108,CHEMBL4456123,BI 639667,CS(=O)(=O)c1cc(C2(NC(=O)c3cncc4c3cnn4-c3ccc(F)cc3)CC2)ccn1
109,CHEMBL2103776,BELFOSDIL,CCCCOP(=O)(CC(CCOc1ccccc1)CP(=O)(OCCCC)OCCCC)OCCCC
110,CHEMBL4568146,ELBIMILAST,O=C(Nc1c(Cl)cncc1Cl)C(=O)c1cn(Cc2ccc(F)cc2)c2ncccc12
111,CHEMBL2107625,BENAFENTRINE,COc1cc2c(cc1OC)[C@@H]1CN(C)CC[C@@H]1N=C2c1ccc(NC(C)=O)cc1
112,CHEMBL2106994,PUMAFENTRINE,CCOc1cc2c(cc1OC)C(c1ccc(C(=O)N(C(C)C)C(C)C)cc1)=N[C@@H]1CCN(C)C[C@H]21
113,CHEMBL91688,DECIMEMIDE,CCCCCCCCCCOc1c(OC)cc(C(N)=O)cc1OC
114,CHEMBL2104602,PIPROCURARIUM IODIDE,CC[N+](C)(CC)CCOCCOC(=O)C(c1ccccc1)[N+]1(C)CCCCC1.[I-].[I-]
